date,game_id,home_team,away_team,home_score,away_score,home_win,total_runs,home_pitcher,home_pitcher_era,home_pitcher_whip,home_bullpen_era,home_ops,home_avg,home_slg,home_era,home_whip,home_last5,away_pitcher,away_pitcher_era,away_pitcher_whip,away_bullpen_era,away_ops,away_avg,away_slg,away_era,away_whip,away_last5
2025-07-08,777195,Detroit Tigers,Tampa Bay Rays,4,2,1,6,Chase Lee,2.05,0.9271523178807948,,0.751,0.253,0.427,3.42,1.0,,Taj Bradley,4.79,1.3065843621399176,,0.73,0.259,0.409,3.79,1.25,
2025-07-08,777191,St. Louis Cardinals,Washington Nationals,4,2,1,6,Matt Svanson,3.74,0.9905660377358492,,0.716,0.252,0.394,4.06,1.2222222222222223,,Shinnosuke Ogasawara,13.5,3.1818181818181817,,0.702,0.247,0.389,5.15,1.375,
2025-07-08,777197,Cincinnati Reds,Miami Marlins,2,12,0,14,Emilio Pagán,2.92,0.8648648648648649,,0.708,0.244,0.393,4.03,2.111111111111111,,Lake Bachar,3.09,1.134259259259259,,0.707,0.254,0.391,4.62,0.8888888888888888,
2025-07-08,777194,Kansas City Royals,Pittsburgh Pirates,4,3,1,7,Sam Long,10.29,2.0,4.022222222222222,0.67,0.244,0.371,3.46,1.0,,Paul Skenes,1.94,0.9224137931034484,3.6325,0.642,0.23,0.341,3.67,0.9876543209876544,
2025-07-08,777190,Minnesota Twins,Chicago Cubs,8,1,1,9,Justin Topa,3.97,1.3529411764705883,,0.704,0.24,0.395,4.12,1.2222222222222223,,Daniel Palencia,1.71,0.9615384615384616,,0.777,0.257,0.45,3.83,1.625,
2025-07-08,777180,Los Angeles Angels,Texas Rangers,1,13,0,14,Connor Brogdon,5.25,1.25,,0.701,0.228,0.403,4.57,2.333333333333333,,Shawn Armstrong,3.52,0.9711286089238844,,0.667,0.23,0.369,3.23,0.6666666666666666,
2025-07-08,777189,Athletics,Atlanta Braves,10,1,1,11,Luis Severino,5.3,1.3955637707948243,,0.733,0.249,0.416,5.28,0.7777777777777778,,Spencer Strider,3.93,1.1636363636363636,,0.697,0.242,0.381,3.85,1.625,
2025-07-08,777192,Houston Astros,Cleveland Guardians,6,10,0,16,Framber Valdez,2.9,1.1478260869565218,3.5737499999999995,0.738,0.261,0.413,3.57,1.4,"W, W, W, L, L",Emmanuel Clase,3.12,1.296758104738155,4.141666666666667,0.661,0.224,0.365,3.99,1.7,"L, L, L, W, W"
2025-07-08,777186,San Francisco Giants,Philadelphia Phillies,4,3,1,7,Scott Alexander,5.82,1.7058823529411764,,0.685,0.232,0.373,3.41,1.4444444444444444,,Jesús Luzardo,4.44,1.4727085478887745,,0.733,0.255,0.404,3.7,1.4814814814814816,
2025-07-08,777185,San Diego Padres,Arizona Diamondbacks,1,0,1,1,Yuki Matsui,5.14,1.4,,0.687,0.245,0.372,3.64,0.8888888888888888,,Eduardo Rodriguez,5.78,1.6294349540078843,,0.77,0.251,0.443,4.64,0.625,
2025-07-07,777199,San Francisco Giants,Philadelphia Phillies,3,1,1,4,Scott Alexander,6.06,1.6770186335403725,,0.684,0.232,0.373,3.41,1.0,,Jesús Luzardo,4.44,1.4727085478887745,,0.733,0.255,0.404,3.7,1.125,
2025-07-07,777209,Boston Red Sox,Colorado Rockies,9,3,1,12,Walker Buehler,6.25,1.5833333333333333,,0.755,0.255,0.43,3.94,1.1111111111111112,,Victor Vodnik,2.39,1.3026819923371646,,0.673,0.231,0.381,5.54,1.875,
2025-07-07,777211,Detroit Tigers,Tampa Bay Rays,5,1,1,6,Chase Lee,2.05,0.9271523178807948,3.591111111111111,0.75,0.253,0.427,3.43,0.7777777777777778,"W, W, W, W, W",Taj Bradley,4.79,1.3065843621399176,3.369999999999999,0.731,0.259,0.409,3.78,1.5,"L, L, W, L, L"
2025-07-07,777200,Los Angeles Angels,Texas Rangers,6,5,1,11,Connor Brogdon,5.25,1.25,,0.704,0.229,0.405,4.47,1.2222222222222223,,Shawn Armstrong,3.52,0.9711286089238844,,0.662,0.228,0.366,3.27,1.7283950617283952,
2025-07-07,777212,Chicago White Sox,Toronto Blue Jays,4,8,0,12,Steven Wilson,1.59,1.2455516014234875,,0.641,0.222,0.345,4.14,1.4444444444444444,,Ryan Burr,0.0,1.818181818181818,,0.733,0.258,0.404,4.17,1.2222222222222223,
2025-07-07,777201,Milwaukee Brewers,Los Angeles Dodgers,9,1,1,10,Abner Uribe,2.09,1.1395348837209305,2.6979999999999995,0.704,0.247,0.382,3.73,1.0,,Ben Casparius,4.68,1.233108108108108,3.5457142857142854,0.788,0.26,0.453,4.36,1.625,
2025-07-07,777208,Cincinnati Reds,Miami Marlins,1,5,0,6,Emilio Pagán,2.92,0.8648648648648649,,0.711,0.245,0.395,3.94,1.2222222222222223,,Lake Bachar,3.09,1.134259259259259,,0.704,0.253,0.39,4.66,0.5555555555555556,
2025-07-07,777204,Kansas City Royals,Pittsburgh Pirates,9,3,1,12,Sam Long,10.29,2.0,,0.67,0.244,0.371,3.47,0.7777777777777778,,Paul Skenes,1.94,0.9224137931034484,,0.641,0.23,0.339,3.68,1.625,
2025-07-07,777202,Houston Astros,Cleveland Guardians,5,7,0,12,Framber Valdez,2.9,1.1478260869565218,,0.738,0.26,0.413,3.52,1.3333333333333333,,Emmanuel Clase,3.2,1.329923273657289,,0.658,0.224,0.363,3.97,0.7777777777777778,
2025-07-07,777203,San Diego Padres,Arizona Diamondbacks,3,6,0,9,Yuki Matsui,5.14,1.4,,0.689,0.246,0.373,3.69,1.6666666666666667,,Eduardo Rodriguez,5.78,1.6294349540078843,,0.774,0.252,0.446,4.68,1.3333333333333333,
2025-07-06,777222,Atlanta Braves,Baltimore Orioles,1,2,0,3,Spencer Strider,3.93,1.1636363636363636,4.591111111111111,0.698,0.243,0.381,3.77,1.1111111111111112,"W, L, L, L, L",Dean Kremer,4.53,1.32542037586548,3.922222222222222,0.705,0.239,0.4,4.94,1.0,"L, L, W, W, W"
